categoria,item,tribunal,pdfs_encontrados,arquivos_md,arquivos_html,itens_estimados_pdf,questoes_md,questoes_html,faltam_questoes_md,faltam_no_html,status,pdfs,mds,htmls
INFORMATIVO,Info 1166 STF,STF,1,1,3,9,8,16,1,,QUESTOES_INCOMPLETAS,Info 1166 STF.pdf,Info 1166 STF_questoes.md,Info 1166 STF.html | Info 1166 STF.html | Info 1166 STF.html
INFORMATIVO,Info 1173 STF,STF,1,1,3,5,3,6,2,,QUESTOES_INCOMPLETAS,Info 1173 STF.pdf,Info 1173 STF_questoes.md,Info 1173 STF.html | Info 1173 STF.html | Info 1173 STF.html
INFORMATIVO,Info 1179 STF,STF,1,1,3,10,9,18,1,,QUESTOES_INCOMPLETAS,Info 1179 STF.pdf,Info 1179 STF_questoes.md,Info 1179 STF.html | Info 1179 STF.html | Info 1179 STF.html
INFORMATIVO,Info 1181 STF,STF,1,1,3,3,2,4,1,,QUESTOES_INCOMPLETAS,Info 1181 STF.pdf,Info 1181 STF_questoes.md,Info 1181 STF.html | Info 1181 STF.html | Info 1181 STF.html
INFORMATIVO,Info 1184 STF,STF,1,0,0,6,0,0,6,,FALTA_GERAR_QUESTOES,Info 1184 STF.pdf,,
INFORMATIVO,Info 1192 STF,STF,1,1,3,10,9,18,1,,QUESTOES_INCOMPLETAS,Info 1192 STF.pdf,Info 1192 STF_questoes.md,Info 1192 STF.html | Info 1192 STF.html | Info 1192 STF.html
INFORMATIVO,Info 1193 STF,STF,1,1,3,4,2,4,2,,QUESTOES_INCOMPLETAS,Info 1193 STF.pdf,Info 1193 STF_questoes.md,Info 1193 STF.html | Info 1193 STF.html | Info 1193 STF.html
INFORMATIVO,Info 1194 STF,STF,1,1,3,9,8,16,1,,QUESTOES_INCOMPLETAS,Info 1194 STF.pdf,Info 1194 STF_questoes.md,Info 1194 STF.html | Info 1194 STF.html | Info 1194 STF.html
INFORMATIVO,Info 1200 STF,STF,1,1,3,7,6,12,1,,QUESTOES_INCOMPLETAS,Info 1200 STF.pdf,Info 1200 STF_questoes.md,Info 1200 STF.html | Info 1200 STF.html | Info 1200 STF.html
INFORMATIVO,Info 1208 STF,STF,1,1,3,5,2,4,3,,QUESTOES_INCOMPLETAS,Info 1208 STF.pdf,Info 1208 STF_questoes.md,Info 1208 STF.html | Info 1208 STF.html | Info 1208 STF.html
INFORMATIVO,Info 24 STJ,STJ,1,0,0,20,0,0,20,,FALTA_GERAR_QUESTOES,Info 24 STJ.pdf,,
INFORMATIVO,Info 26 STJ,STJ,1,1,3,31,30,60,1,,QUESTOES_INCOMPLETAS,Info 26 STJ.pdf,Info 26 STJ_questoes.md,Info 26 STJ.html | Info 26 STJ.html | Info 26 STJ.html
INFORMATIVO,Info 28 STJ,STJ,1,0,0,20,0,0,20,,FALTA_GERAR_QUESTOES,Info 28 STJ.pdf,,
INFORMATIVO,Info 29 STJ,STJ,1,0,0,30,0,0,30,,FALTA_GERAR_QUESTOES,Info 29 STJ.pdf,,
INFORMATIVO,Info 30 STJ,STJ,1,0,0,23,0,0,23,,FALTA_GERAR_QUESTOES,Info 30 STJ.pdf,,
INFORMATIVO,Info 837 STJ,STJ,1,0,0,14,0,0,14,,FALTA_GERAR_QUESTOES,Info 837 STJ.pdf,,
INFORMATIVO,Info 839 STJ,STJ,1,1,3,12,11,22,1,,QUESTOES_INCOMPLETAS,Info 839 STJ.pdf,Info 839 STJ_questoes.md,Info 839 STJ.html | Info 839 STJ.html | Info 839 STJ.html
INFORMATIVO,Info 840 STJ,STJ,1,1,3,13,12,24,1,,QUESTOES_INCOMPLETAS,Info 840 STJ.pdf,Info 840 STJ_questoes.md,Info 840 STJ.html | Info 840 STJ.html | Info 840 STJ.html
INFORMATIVO,Info 841 STJ,STJ,1,1,3,14,13,26,1,,QUESTOES_INCOMPLETAS,Info 841 STJ.pdf,Info 841 STJ_questoes.md,Info 841 STJ.html | Info 841 STJ.html | Info 841 STJ.html
INFORMATIVO,Info 842 STJ,STJ,1,1,3,34,33,66,1,,QUESTOES_INCOMPLETAS,Info 842 STJ.pdf,Info 842 STJ_questoes.md,Info 842 STJ.html | Info 842 STJ.html | Info 842 STJ.html
INFORMATIVO,Info 853 STJ,STJ,1,1,3,14,12,24,2,,QUESTOES_INCOMPLETAS,Info 853 STJ.pdf,Info 853 STJ_questoes.md,Info 853 STJ.html | Info 853 STJ.html | Info 853 STJ.html
INFORMATIVO,Info 856 STJ,STJ,1,1,3,18,17,34,1,,QUESTOES_INCOMPLETAS,Info 856 STJ.pdf,Info 856 STJ_questoes.md,Info 856 STJ.html | Info 856 STJ.html | Info 856 STJ.html
INFORMATIVO,Info 858 STJ,STJ,1,0,0,15,0,0,15,,FALTA_GERAR_QUESTOES,Info 858 STJ.pdf,,
INFORMATIVO,Info 859 STJ,STJ,1,1,3,15,14,28,1,,QUESTOES_INCOMPLETAS,Info 859 STJ.pdf,Info 859 STJ_questoes.md,Info 859 STJ.html | Info 859 STJ.html | Info 859 STJ.html
INFORMATIVO,Info 869 STJ,STJ,1,1,3,9,8,16,1,,QUESTOES_INCOMPLETAS,Info 869 STJ.pdf,Info 869 STJ_questoes.md,Info 869 STJ.html | Info 869 STJ.html | Info 869 STJ.html
INFORMATIVO,Info 870 STJ,STJ,1,1,3,21,20,40,1,,QUESTOES_INCOMPLETAS,Info 870 STJ.pdf,Info 870 STJ_questoes.md,Info 870 STJ.html | Info 870 STJ.html | Info 870 STJ.html
INFORMATIVO,Info 871 STJ,STJ,1,1,3,13,12,24,1,,QUESTOES_INCOMPLETAS,Info 871 STJ.pdf,Info 871 STJ_questoes.md,Info 871 STJ.html | Info 871 STJ.html | Info 871 STJ.html
INFORMATIVO,Info 872 STJ,STJ,1,1,3,17,16,32,1,,QUESTOES_INCOMPLETAS,Info 872 STJ.pdf,Info 872 STJ_questoes.md,Info 872 STJ.html | Info 872 STJ.html | Info 872 STJ.html
INFORMATIVO,Info 875 STJ,STJ,1,1,3,25,24,48,1,,QUESTOES_INCOMPLETAS,Info 875 STJ.pdf,Info 875 STJ_questoes.md,Info 875 STJ.html | Info 875 STJ.html | Info 875 STJ.html
INFORMATIVO,Info 884 STJ,STJ,1,1,3,16,15,30,1,,QUESTOES_INCOMPLETAS,Info 884 STJ.pdf,Info 884 STJ_questoes.md,Info 884 STJ.html | Info 884 STJ.html | Info 884 STJ.html
RG,RG - Administrativo,STF,1,1,2,375,5,10,370,,QUESTOES_INCOMPLETAS,RG Administrativo.pdf,RG - Administrativo.md,RG - Administrativo.html | RG - Administrativo.html
RG,RG - Administrativo Extracao,STF,0,0,1,,0,10,,,SEM_QUESTOES_MD,,,Administrativo_Extração_RG_STF.html
RG,RG - Ambiental,STF,1,1,2,4,3,6,1,,QUESTOES_INCOMPLETAS,RG Ambiental.pdf,RG - Ambiental.md,RG - Ambiental.html | RG - Ambiental.html
RG,RG - Ambiental Extracao,STF,0,0,1,,0,6,,,SEM_QUESTOES_MD,,,Ambiental_Extração_RG_STF.html
RG,RG - Civil,STF,1,1,2,61,30,60,31,,QUESTOES_INCOMPLETAS,RG Civil.pdf,RG - Civil.md,RG - Civil.html | RG - Civil.html
RG,RG - Civil Extracao,STF,0,0,1,,0,60,,,SEM_QUESTOES_MD,,,Civil_Extração_RG_STF.html
RG,RG - Consumidor,STF,1,1,2,41,14,28,27,,QUESTOES_INCOMPLETAS,RG Consumidor.pdf,RG - Consumidor.md,RG - Consumidor.html | RG - Consumidor.html
RG,RG - Consumidor Extracao,STF,0,0,1,,0,28,,,SEM_QUESTOES_MD,,,Consumidor_Extração_RG_STF.html
RG,RG - Eleitoral Extracao,STF,0,0,1,,0,8,,,SEM_QUESTOES_MD,,,Eleitoral_Extração_RG_STF.html
RG,RG - Penal,STF,1,1,2,46,32,64,14,,QUESTOES_INCOMPLETAS,RG Penal.pdf,RG - Penal.md,RG - Penal.html | RG - Penal.html
RG,RG - Penal Extracao,STF,0,0,1,,0,64,,,SEM_QUESTOES_MD,,,Penal_Extração_RG_STF.html
RG,RG - Proc Civil Extracao,STF,0,0,1,,0,168,,,SEM_QUESTOES_MD,,,Proc Civil_Extração_RG_STF.html
RG,RG - Proc Penal Extracao,STF,0,0,1,,0,68,,,SEM_QUESTOES_MD,,,Proc Penal_Extração_RG_STF.html
RG,RG - Processo Civil,STF,1,1,2,135,84,168,51,,QUESTOES_INCOMPLETAS,RG Proc Civil.pdf,RG - Processo Civil.md,RG - Processo Civil.html | RG - Processo Civil.html
RG,RG - Processo Penal,STF,1,1,2,50,34,68,16,,QUESTOES_INCOMPLETAS,RG Proc Penal.pdf,RG - Processo Penal.md,RG - Processo Penal.html | RG - Processo Penal.html
RG,RG - Tributario Extracao,STF,0,0,1,,0,272,,,SEM_QUESTOES_MD,,,Tributário_Extração_RG_STF.html
RG,RG - Tributário,STF,1,1,2,192,136,272,56,,QUESTOES_INCOMPLETAS,RG Tributário.pdf,RG - Tributário.md,RG - Tributário.html | RG - Tributário.html
REPETITIVO,Repetitivo - Civil,STJ,1,1,0,2,0,0,2,,FALTA_GERAR_QUESTOES,Rep Civil.pdf,Repetitivo - Civil.md,
SUMULA,Súmulas STF,STF,1,0,1,736,0,20,736,,FALTA_GERAR_QUESTOES,Sumulas STF (até 736).pdf,,Enunciados_Sumulas_STF_1_a_736_Resumido.html
SUMULA,Súmulas STJ,STJ,0,0,1,,0,10,,,SEM_QUESTOES_MD,,,sumulas_STJ.html
SUMULA,Súmulas Vinculantes STJ,STJ,1,0,0,680,0,0,680,,FALTA_GERAR_QUESTOES,Sumulas Vinculantes STJ.pdf,,
