categoria,item,tribunal,pdfs_encontrados,arquivos_md,arquivos_html,itens_estimados_pdf,questoes_md,questoes_html,faltam_questoes_md,faltam_no_html,status,pdfs,mds,htmls
INFORMATIVO,Info 1162 STF,STF,1,1,3,4,5,15,,,OK,Info 1162 STF.pdf,Info 1162 STF_questoes.md,Info 1162 STF.html | Info 1162 STF.html | Info 1162 STF.html
INFORMATIVO,Info 1163 STF,STF,1,1,3,10,14,28,,,OK,Info 1163 STF.pdf,Info 1163 STF_questoes.md,Info 1163 STF.html | Info 1163 STF.html | Info 1163 STF.html
INFORMATIVO,Info 1164 STF,STF,1,1,3,4,6,12,,,OK,Info 1164 STF.pdf,Info 1164 STF_questoes.md,Info 1164 STF.html | Info 1164 STF.html | Info 1164 STF.html
INFORMATIVO,Info 1165 STF,STF,1,1,3,8,8,16,,,OK,Info 1165 STF.pdf,Info 1165 STF_questoes.md,Info 1165 STF.html | Info 1165 STF.html | Info 1165 STF.html
INFORMATIVO,Info 1166 STF,STF,1,1,3,9,8,16,1,,QUESTOES_INCOMPLETAS,Info 1166 STF.pdf,Info 1166 STF_questoes.md,Info 1166 STF.html | Info 1166 STF.html | Info 1166 STF.html
INFORMATIVO,Info 1167 STF,STF,1,1,3,7,8,16,,,OK,Info 1167 STF.pdf,Info 1167 STF_questoes.md,Info 1167 STF.html | Info 1167 STF.html | Info 1167 STF.html
INFORMATIVO,Info 1168 STF,STF,1,1,3,2,2,4,,,OK,Info 1168 STF.pdf,Info 1168 STF_questoes.md,Info 1168 STF.html | Info 1168 STF.html | Info 1168 STF.html
INFORMATIVO,Info 1169 STF,STF,1,1,3,6,6,12,,,OK,Info 1169 STF.pdf,Info 1169 STF_questoes.md,Info 1169 STF.html | Info 1169 STF.html | Info 1169 STF.html
INFORMATIVO,Info 1170 STF,STF,1,1,3,4,4,8,,,OK,Info 1170 STF.pdf,Info 1170 STF_questoes.md,Info 1170 STF.html | Info 1170 STF.html | Info 1170 STF.html
INFORMATIVO,Info 1171 STF,STF,1,1,3,9,9,18,,,OK,Info 1171 STF.pdf,Info 1171 STF_questoes.md,Info 1171 STF.html | Info 1171 STF.html | Info 1171 STF.html
INFORMATIVO,Info 1172 STF,STF,1,1,2,7,7,14,,,OK,Info 1172 STF.pdf,Info 1172 STF_questoes.md,Info 1172 STF.html | Info 1172 STF.html
INFORMATIVO,Info 1173 STF,STF,1,1,3,5,3,6,2,,QUESTOES_INCOMPLETAS,Info 1173 STF.pdf,Info 1173 STF_questoes.md,Info 1173 STF.html | Info 1173 STF.html | Info 1173 STF.html
INFORMATIVO,Info 1174 STF,STF,1,1,3,5,5,10,,,OK,Info 1174 STF.pdf,Info 1174 STF_questoes.md,Info 1174 STF.html | Info 1174 STF.html | Info 1174 STF.html
INFORMATIVO,Info 1175 STF,STF,1,1,3,1,1,2,,,OK,Info 1175 STF.pdf,Info 1175 STF_questoes.md,Info 1175 STF.html | Info 1175 STF.html | Info 1175 STF.html
INFORMATIVO,Info 1176 STF,STF,1,1,3,3,3,6,,,OK,Info 1176 STF.pdf,Info 1176 STF_questoes.md,Info 1176 STF.html | Info 1176 STF.html | Info 1176 STF.html
INFORMATIVO,Info 1177 STF,STF,1,1,2,1,1,2,,,OK,Info 1177 STF.pdf,Info 1177 STF_questoes.md,Info 1177 STF.html | Info 1177 STF.html
INFORMATIVO,Info 1178 STF,STF,1,1,3,5,5,10,,,OK,Info 1178 STF.pdf,Info 1178 STF_questoes.md,Info 1178 STF.html | Info 1178 STF.html | Info 1178 STF.html
INFORMATIVO,Info 1179 STF,STF,1,1,3,10,9,18,1,,QUESTOES_INCOMPLETAS,Info 1179 STF.pdf,Info 1179 STF_questoes.md,Info 1179 STF.html | Info 1179 STF.html | Info 1179 STF.html
INFORMATIVO,Info 1180 STF,STF,1,1,3,6,7,14,,,OK,Info 1180 STF.pdf,Info 1180 STF_questoes.md,Info 1180 STF.html | Info 1180 STF.html | Info 1180 STF.html
INFORMATIVO,Info 1181 STF,STF,1,1,3,3,2,4,1,,QUESTOES_INCOMPLETAS,Info 1181 STF.pdf,Info 1181 STF_questoes.md,Info 1181 STF.html | Info 1181 STF.html | Info 1181 STF.html
INFORMATIVO,Info 1182 STF,STF,1,1,3,4,4,8,,,OK,Info 1182 STF.pdf,Info 1182 STF_questoes.md,Info 1182 STF.html | Info 1182 STF.html | Info 1182 STF.html
INFORMATIVO,Info 1183 STF,STF,1,1,3,2,2,4,,,OK,Info 1183 STF.pdf,Info 1183 STF_questoes.md,Info 1183 STF.html | Info 1183 STF.html | Info 1183 STF.html
INFORMATIVO,Info 1184 STF,STF,1,0,0,6,0,0,6,,FALTA_GERAR_QUESTOES,Info 1184 STF.pdf,,
INFORMATIVO,Info 1185 STF,STF,1,1,3,7,10,20,,,OK,Info 1185 STF.pdf,Info 1185 STF_questoes.md,Info 1185 STF.html | Info 1185 STF.html | Info 1185 STF.html
INFORMATIVO,Info 1186 STF,STF,1,1,3,7,9,18,,,OK,Info 1186 STF.pdf,Info 1186 STF_questoes.md,Info 1186 STF.html | Info 1186 STF.html | Info 1186 STF.html
INFORMATIVO,Info 1187 STF,STF,1,1,3,4,4,8,,,OK,Info 1187 STF.pdf,Info 1187 STF_questoes.md,Info 1187 STF.html | Info 1187 STF.html | Info 1187 STF.html
INFORMATIVO,Info 1188 STF,STF,1,1,3,9,9,18,,,OK,Info 1188 STF.pdf,Info 1188 STF_questoes.md,Info 1188 STF.html | Info 1188 STF.html | Info 1188 STF.html
INFORMATIVO,Info 1189 STF,STF,1,1,3,2,2,4,,,OK,Info 1189 STF.pdf,Info 1189 STF_questoes.md,Info 1189 STF.html | Info 1189 STF.html | Info 1189 STF.html
INFORMATIVO,Info 1190 STF,STF,1,1,3,5,5,10,,,OK,Info 1190 STF.pdf,Info 1190 STF_questoes.md,Info 1190 STF.html | Info 1190 STF.html | Info 1190 STF.html
INFORMATIVO,Info 1191 STF,STF,1,1,3,4,4,8,,,OK,Info 1191 STF.pdf,Info 1191 STF_questoes.md,Info 1191 STF.html | Info 1191 STF.html | Info 1191 STF.html
